order,ell,s_Mpc_h,s2_measurement,s2_jackknife_sigma,s2_model
0.000000000000000000e+00,0.000000000000000000e+00,5.200000000000000000e+01,4.811181287826667585e+01,2.249848156393203347e+00,4.816401514421448127e+01
0.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+01,4.040402506143711037e+01,2.711859602639326017e+00,3.856114050397292914e+01
0.000000000000000000e+00,0.000000000000000000e+00,6.800000000000000000e+01,3.386598461880549138e+01,3.165185614134099712e+00,2.997964348142071955e+01
0.000000000000000000e+00,0.000000000000000000e+00,7.600000000000000000e+01,2.404509976022802675e+01,3.667821295143385729e+00,2.230244686609888305e+01
0.000000000000000000e+00,0.000000000000000000e+00,8.400000000000000000e+01,1.664572800334767066e+01,3.732994751405557476e+00,1.828386931899406775e+01
0.000000000000000000e+00,0.000000000000000000e+00,9.200000000000000000e+01,2.302973976089027985e+01,4.206010138247636476e+00,2.311117258679743713e+01
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+02,3.403161993176058076e+01,4.705518538796765959e+00,3.299133287201583187e+01
0.000000000000000000e+00,0.000000000000000000e+00,1.080000000000000000e+02,2.932138911884514698e+01,4.917730799489763882e+00,3.117929529429506275e+01
0.000000000000000000e+00,0.000000000000000000e+00,1.160000000000000000e+02,1.357001715086713389e+01,4.986371369742550463e+00,1.592454636022527836e+01
0.000000000000000000e+00,0.000000000000000000e+00,1.240000000000000000e+02,-4.259593907656929801e+00,5.129804108250709760e+00,-5.459279516924274711e-01
0.000000000000000000e+00,0.000000000000000000e+00,1.320000000000000000e+02,-1.994536334121355381e+01,6.221233247729434090e+00,-1.163237409936366795e+01
0.000000000000000000e+00,0.000000000000000000e+00,1.400000000000000000e+02,-2.186308874604854680e+01,6.747433434821660470e+00,-1.791084067156089787e+01
0.000000000000000000e+00,0.000000000000000000e+00,1.480000000000000000e+02,-2.149018137871064837e+01,7.201315169706471231e+00,-2.132220977869271650e+01
0.000000000000000000e+00,2.000000000000000000e+00,5.200000000000000000e+01,-7.928320279662345627e+01,3.857457363912575321e+00,-7.925923966869332560e+01
0.000000000000000000e+00,2.000000000000000000e+00,6.000000000000000000e+01,-7.377458082998899158e+01,4.957148853987657589e+00,-8.014147704438576625e+01
0.000000000000000000e+00,2.000000000000000000e+00,6.800000000000000000e+01,-7.463411443860404404e+01,5.521162175430953667e+00,-7.974183940851428076e+01
0.000000000000000000e+00,2.000000000000000000e+00,7.600000000000000000e+01,-7.342019536988370021e+01,6.111827225511541783e+00,-7.784217481358078317e+01
0.000000000000000000e+00,2.000000000000000000e+00,8.400000000000000000e+01,-6.618972451765608866e+01,7.688197341462728929e+00,-7.330913083550767340e+01
0.000000000000000000e+00,2.000000000000000000e+00,9.200000000000000000e+01,-6.170801745612782696e+01,9.223904574071122298e+00,-6.861719599282339743e+01
